ID,Usuário,Tweet,Seguidores
1274801038323781644,sadiehfly,O Filho De Netuno é simplesmente perfeito e uma das melhores partes é ver a morte chamando as Portas da Morte de Po… https://t.co/TYMsOTaErs,268
911037370513985536,fwrlann,"Não gosto de você desde 2014 mlk filho da puta falso, te amo irmão se cuida",208
934265985263112193,baesseullie,"É isso cara, eu n sei viver mais sem ateez, respirar sem ateez, eu não sou ninguém se eu não for atiny é isso mt ob… https://t.co/esPBdMcGnL",1694
788853785900773377,TainaraaNuness,"2 meses que minha vida ganhou sentindo, dois meses que meu mundo ganhou cor e vida. Filho, eu te amo mais que tudo,… https://t.co/QTpQKpUjSU",2166
1207890585803251712,Niconeroo,"Esse filho da puta desgraçado do caralho quase me matou do coração   Essa cena tem um peso enorme, pois é nela que… https://t.co/lYwOg3WGkN",6497
1233823580967899136,joonmino,taecyeon se estiver lendo saiba que eu te amo e que eu lembro de vcs prometerem tentar refazer aqueles desafios da… https://t.co/ev0BtZJllx,534
1251527689263079424,LeandroMonteAl1,"""EU TE AMO BRASIL"" VERAZ QUE UM FILHO TEU NÃO FOGE A LUTA  Mas, se ergues da justiça a clava forte, Verás que um fi… https://t.co/7yHNKvmml1",12
1225078040327225345,Sxx1xx3r,como pode um filho da puta como o Neruda se expressar tão bem? amo versos amargos como “e de tanto não responder te… https://t.co/Ov4oJl969p,69
944254897456861184,rhayssinhaaaaaa,meu deus eu AMO quando o twitter se junta pra comer o cu de filho da puta eu juro geral começou a mandar travazap K… https://t.co/PoLqORN8ZH,195
475521778,RodrigoMaiaSSS,"Uma mãe faz tanta falta da vida de um filho, sinto tanta falta da minha que tem dias que o coração só não falta agu… https://t.co/0cC1D79rlN",1248
1285322978708815874,inThhrOs,"terminei ""a rainha vermelha"" e  •maven é um grande filho da puta •cal, eu te amo, desculpa o hate por causa de ship… https://t.co/DTDVAT80Qe",56
1187162753741524992,duda9912,abre seu peito e ve se me escuta EU TE AMO SEU FILHO DA PUTA,379
433571650,Nammiotto,"Eu falo o tempo todo que amo o Stefan e que ele e a Elena são perfeitos, porém ctz que se fosse comigo eu escolheri… https://t.co/vtQmVQZnrX",190
228407678,troutymouth,Esse ano eu vou ser um baita de um filho da puta pra poder lidar com as coisas que to lidando. Não vou ter emociona… https://t.co/csVV0tVbDl,1192
1194695145632993280,SUSTENTA15,Não adianta tu pode ser a mulher mais foda do mundo a mãe do filho dele o primeiro amo a melhor na camava única que… https://t.co/eH8Frwiy3I,140
1034660763754016768,havingablast80,"Inclusive tomar café coado no pano me faz sentir muitas saudades de ir pra Guarapuava, na casa do tio Vardo. Todo m… https://t.co/HlVYgwtX76",92
1241933515131944962,isis_dresch,Expectativa / Realidade -  Tirando fotos bonitas / Esperando ônibus na paulista 1 da manhã (Pelo menos a gente se d… https://t.co/M4l0sWTARs,21
4085542067,Roana083,"pq tu é o meu neném,eu brigo msm, bato msm, arrasto pra casa na marra, tomo a chave da moto, jogo bebida fora, trat… https://t.co/CBE9xoYCH9",1523
1083215834921750528,peacebangone,FILHO DA MAE DESGRAÇADO VC TEM NOÇÃO DO QUANTO SUA CARA FAZ FALTA?????? DO QUÃO PREOCUPADOS A GENTE FICA COM VC????… https://t.co/NpB0zVXXBa,334
1202996418635587587,Shaay080502,"Hoje é o dia do meu melhor amigo caralhooooo, a se ele soubesse o quanto esse filho da puta e importante pra mim e… https://t.co/PMDffwMmt0",331
1184359080879677443,ggukihy,FILHO DA PUTA DESGRAÇADO DO CARALHO ME COME SEU FUDIDO ME COME SE VC TEM CORAGEM QUERO SENTAR NO TEU PAU POR 35 HOR… https://t.co/AfyY5GFfZm,520
1285431519583047680,afkjulinha_,amo cada mordida e cada patada desse diabinho  e se você machuca animais saiba que eh um arrombado filho da puta https://t.co/2ZTPr5qFpo,4
291236541,LucaSnivy,dei penta pro fdp do @vulgogago e ele nem se quer me agradeceu bastardo filho da puta eu te amo,361
1234262619613286400,bielly_rqnh0,"Meu irmão  pode ser o pior filho  da puta, podemos brigar  ou até mesmo parar de se falar, mais não me imagino pass… https://t.co/XdQ6yCqCy1",273
88223936,vickmassad_,"@Elson_Tope Vocês homens acham que tem o direito de nos magoar e de nos iludir, aí falam “vocês que se iludem sozin… https://t.co/NW47GktI4U",1946
4724199562,tgoesl,"perdoa a mãezinha meu filho. te amo pra sempre, obrigada pelos momentos mais lindos que tivemos, por sempre me espe… https://t.co/o92HiWdyKa",27
1255505750409043968,TodorokiSatanic,@_Kiribaby Mds alguém realmente se importa com oq eu posto na timeline?😭 N tenha vergonha amigo pode me chamar de f… https://t.co/jUOYgwsibV,205
1282433635963084802,cratyv,filho da puta.vai se fode eu te amo demais vc eh tudo pra mim eu odeio como vc consegue ser perfeitovfms eu te amo… https://t.co/nXVz4s3xBW,360
1266381354205351937,sadmoshero,"Feliz dia do "" vai se fudê filho da puta, te amo """,109
1184301926797758465,jaesilky,@mendestywles vIADONA a gente se congece a 7 anos ne feliz dia do amigo sua gay te amo inclusive sobre a blusa eu v… https://t.co/CJmlSPSxkd,4195
1146571783056891911,pabsgabriel,"Alguém sabe me informar se a série ""Boca a Boca"" é uma produção brasileira? A faixa sonora principal da série é ""Te… https://t.co/TkuuhJYJVX",163
2778949558,prncs_9,mensagem para:  1. Eu juro que eu presto 2. A fila tá grande 3. A minha promessa é te fazer feliz  4. Saudades dos… https://t.co/ZCfn8m46eD,2244
1241190780078829571,Min04898769,"Se eu vejo a alguém da bh na rua,eu meto-lhe o dedo no cu.Mas que desgraça num se toca que é 7 membros e que não e… https://t.co/E3tMIa627F",334
291236541,LucaSnivy,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa… https://t.co/X1eJBBjX08,361
827908536403386369,blararara,saudades de dar rolê no mercado sem se preocupar com um vírus filho da puta 🦠,205
1211789983788326913,freddievocals,"@xansszz Bando de filho da puta, se eu for pensar igual a eles, eu tô fudida. Eu não vou por as pessoas que eu amo… https://t.co/g3ebarGRWv",8715
4514958399,swtunbutera,"@llucasscardoso feliz dia p esse filho da puta q só enche a porra do meu saco, mas q eh importante p mi tb  sim vc… https://t.co/gBxyOgwTr8",2102
218648473,dakobloody,"mensagem para:  1. então pode ir, e vai mesmo   2. tamo junto, mas cala a boca  3. não demore, mas não se apresse 4… https://t.co/IN6Yi1ASmQ",4757
1232120291217805315,raffzs,"Miguel fazendo 1 aninho e parece que foi ontem q eu fui conhecer ele no hospital. Era tão pequeninho, me apaixonei… https://t.co/BM9AHUW57Y",222
1230224413586526209,manuelozeles,FILHO DA PUTA DESGRAÇADO SIM EU SOU COMPLETAMENTE RENDIDA POR VOCÊ EU FICO TRISTE SE EU NÃO FALO COM VOCÊ EU SINTO… https://t.co/naG5WUGnhe,362
1052333973492256773,LayMazetto,"Se tem uma amizade q eu n me arrependo, é da minha e o @xexeira   A pag de meme dessa desgraça me faz feliz nos meu… https://t.co/PKw0ERj7jR",163
1279985811698651136,lilbala2,@severo_HD Amo o conceito de mãe favelada que se xinga chamando o filho de filho da puta,6
1059092811360931840,Vante_Girassois,@viskmah Calma e o caralho porra eu te amo desgraça eu ñ te conheço pessoalmente mas espera essa pandemia acabar pr… https://t.co/6UtPD9HK9H,205
285940197,mandalamerda,@gabibarreto__ Você apaixonada por homem hetero que não é imbecil... Eu amo. Se esse filho da puta vacilar eu levo sorvete e chocolate.,139
1176893831163404288,PreeRogerio,🐶🐶🐶Meu melhor amigo se foi em 2017. Mas sei que está me protegendo lá de cima. Virou meu Anjo da Guarda. 😭😭😭 TE AMO FILHO 🐶,73
1261168058262904832,BarbiBatterflai,"@xcosmicvictor você é meu irmãozinho filho da Puta que vive sumindo mas que eu amo mesmo assim, obrigada por ser le… https://t.co/j0Q98R8zP6",989
1279413696947773440,raixjc,se fosse em outro estado já estariam gritando falando q ela maltrata a criança kkkkkk amo q pelo RJ toda criança te… https://t.co/FBOHeV4ed0,205
1001671050223079425,matheustante,Eu amo que se fosse a minha vó ela ia falar “garoto filho da puta tá na sua mão” kkkkkkkk de um jeito super fofo ❤️… https://t.co/JY9btZRT3q,599
185047869,RodrigoMoises_,"Só de pensar que mês que vem vou pra Goiânia e ficar uma semana lá com o Barsotti, se louco. Mo saudades desse filho da puta",546
1283214855550504962,GaltaxB,"@FGodrj Carisma também, acho a peça fundamental para um vilão cumprir o objetivo e depois se revelar um filho da pu… https://t.co/rQaGVlr51n",136
1253708663094730753,AgarPeh,"boy eu amo thiago, puta que pariu, o filho da puta se mete em cada boca quente... e o melhor ele vem correndo me contar as disgraça",39
1083857799212343296,Littlx_shine,"se alguém nn pagar uma terapia braba pro Sanha até o final dessa au eu dropo, mds, despiroca filho, tira o pau do s… https://t.co/HxqNXiDrTr",193
3121457703,thaleshxz,"@estevesdiasmaia @SantooosMaria Mas a gente se odeia.. Zueira, te amo filho da puta skksksksk",565
1262485779407831046,gioopernambuco,Time de fudido do caralho eu odeio brocador vai tomar no cu filho da puta até eu jogando faria aquele gol sincerame… https://t.co/VuGt1SGVxS,640
735092522,lilixviana,HERNANE FILHO DA PUTA TE AMO VAI SE FUDEEEEEE,456
4101563307,_paulinhapaes,Minhas melhores amigas trabalhando na linha de frente contra esse inferno de covid.. Só quero matar cada filho da p… https://t.co/3LHGu64BUS,184
1138922517622599680,hwallbffz,SE EU TE ENCONTRO NA RUA EU TE DESÇO A PORRADA VIADINHO PÃO COM OVO DO CARALHO EU TE AMO FILHO DA PUTA QUE INFERNO… https://t.co/qW5HAom7sg,275
